  Date      Daily Net    Cumu. Net   Close
      (Monthly data are at the end)

01/03/95          0            0     461.60
01/04/95          0            0     463.90
01/05/95          0            0     463.30
01/06/95          0            0     462.90
01/09/95          0            0     463.60
01/10/95          0            0     464.10
01/11/95          0            0     464.60
01/12/95          0            0     464.30
01/13/95          0            0     469.10
01/16/95          0            0     471.70
01/17/95          0            0     471.90
01/18/95          0            0     471.10
01/19/95          0            0     468.70
01/20/95          0            0     467.30
01/23/95          0            0     468.00
01/24/95          0            0     468.40
01/25/95          0            0     469.90
01/26/95          0            0     471.20
01/27/95          0            0     471.60
01/30/95          0            0     469.90
01/31/95          0            0     472.30
02/01/95          0            0     471.80
02/02/95          0            0     474.60
02/03/95          0            0     481.00
02/06/95          0            0     482.70
02/07/95          0            0     483.10
02/08/95          0            0     482.30
02/09/95          0            0     482.70
02/10/95          0            0     483.60
02/13/95          0            0     483.40
02/14/95          0            0     483.80
02/15/95          0            0     486.70
02/16/95          0            0     486.30
02/17/95          0            0     484.40
02/21/95          0            0     484.40
02/22/95          0            0     487.10
02/23/95          0            0     488.80
02/24/95          0            0     488.70
02/27/95          0            0     485.00
02/28/95          0            0     488.50
03/01/95          0            0     486.10
03/02/95          0            0     486.60
03/03/95          0            0     485.90
03/06/95          0            0     490.20
03/07/95          0            0     486.10
03/08/95          0            0     487.30
03/09/95          0            0     487.20
03/10/95          0            0     495.10
03/13/95          0            0     494.10
03/14/95          0            0     497.40
03/15/95          0            0     496.10
03/16/95          0            0     499.50
03/17/95          0            0     499.80
03/20/95          0            0     500.10
03/21/95          0            0     499.30
03/22/95          0            0     499.40
03/23/95          0            0     499.40
03/24/95          0            0     505.30
03/27/95          0            0     507.60
03/28/95          0            0     507.50
03/29/95          0            0     506.50
03/30/95          0            0     506.40
03/31/95          0            0     504.30
04/03/95          0            0     504.70
04/04/95          0            0     507.80
04/05/95          0            0     509.00
04/06/95          0            0     509.70
04/07/95          0            0     508.60
04/10/95          0            0     509.80
04/11/95          0            0     507.90
04/12/95          0            0     510.00
04/13/95          0            0     512.00
04/17/95          0            0     508.50
04/18/95          0            0     507.90
04/19/95          0            0     506.60
04/20/95          0            0     507.40
04/21/95          0            0     510.30
04/24/95          0            0     515.10
04/25/95          0            0     513.50
04/26/95          0            0     514.30
04/27/95          0            0     515.40
04/28/95          0            0     516.90
05/01/95          0            0     515.20
05/02/95          0            0     516.80
05/03/95          0            0     522.70
05/04/95          0            0     522.90
05/05/95          0            0     521.30
05/08/95          0            0     525.40
05/09/95          0            0     524.50
05/10/95          0            0     525.50
05/11/95          0            0     526.60
05/12/95          0            0     527.30
05/15/95          0            0     529.80
05/16/95          0            0     529.60
05/17/95          0            0     527.70
05/18/95          0            0     519.20
05/19/95          0            0     520.50
05/22/95          0            0     525.30
05/23/95          0            0     530.00
05/24/95          0            0     529.50
05/25/95          0            0     529.90
05/26/95          0            0     523.80
05/30/95          0            0     523.60
05/31/95          0            0     533.30
06/01/95          0            0     533.90
06/02/95          0            0     532.00
06/05/95          0            0     541.20
06/06/95          0            0     539.50
06/07/95          0            0     537.90
06/08/95          0            0     536.20
06/09/95          0            0     533.00
06/12/95          0            0     536.90
06/13/95          0            0     540.70
06/14/95          0            0     540.50
06/15/95          0            0     542.70
06/16/95          0            0     544.00
06/19/95          0            0     549.80
06/20/95          0            0     549.20
06/21/95          0            0     549.00
06/22/95          0            0     555.40
06/23/95          0            0     555.00
06/26/95          0            0     548.30
06/28/95          0            0     549.50
06/29/95          0            0     548.40
07/03/95          0            0     549.50
07/05/95          0            0     552.00
07/06/95          0            0     557.80
07/07/95          0            0     560.10
07/10/95          0            0     561.30
07/11/95          0            0     557.80
07/12/95          0            0     564.20
07/13/95          0            0     564.00
07/14/95          0            0     562.80
07/17/95          0            0     565.50
07/18/95          0            0     560.90
07/19/95          0            0     553.90
07/20/95          0            0     556.40
07/21/95          0            0     555.30
07/24/95          0            0     560.50
07/25/95          0            0     563.30
07/26/95          0            0     564.00
07/27/95          0            0     567.50
07/28/95          0            0     564.20
07/31/95          0            0     563.30
08/01/95          0            0     561.40
08/02/95          0            0     559.50
08/03/95          0            0     560.50
08/04/95          0            0     560.60
08/07/95          0            0     561.40
08/08/95          0            0     561.80
08/09/95          0            0     561.90
08/10/95          0            0     558.50
08/11/95          0            0     557.10
08/14/95          0            0     561.70
08/15/95          0            0     560.00
08/16/95          0            0     560.50
08/17/95          0            0     560.60
08/18/95          0            0     561.70
08/21/95          0            0     558.80
08/22/95          0            0     559.90
08/23/95          0            0     557.80
08/24/95          0            0     559.10
08/25/95          0            0     562.00
08/28/95          0            0     559.50
08/29/95          0            0     560.60
08/30/95          0            0     561.30
08/31/95          0            0     562.90
09/01/95          0            0     565.00
09/05/95          0            0     574.10
09/06/95          0            0     575.90
09/07/95          0            0     575.80
09/08/95          0            0     578.00
09/11/95          0            0     578.70
09/12/95          0            0     581.40
09/13/95          0            0     584.30
09/14/95          0            0     588.90
09/15/95          0            0     589.00
09/18/95          0            0     587.70
09/19/95          0            0     589.90
09/20/95          0            0     592.10
09/21/95          0            0     586.80
09/22/95          0            0     587.40
09/25/95          0            0     586.10
09/26/95          0            0     586.00
09/27/95          0            0     585.40
09/28/95          0            0     589.10
09/29/95          0            0     588.20
10/02/95          0            0     585.00
10/03/95          0            0     586.30
10/04/95          0            0     585.00
10/05/95          0            0     586.50
10/06/95          0            0     586.50
10/09/95          0            0     581.60
10/10/95          0            0     581.20
10/11/95          0            0     583.50
10/12/95          0            0     587.60
10/13/95          0            0     588.30
10/16/95          0            0     585.20
10/17/95          0            0     590.00
10/18/95          0            0     591.00
10/19/95          0            0     594.00
10/20/95          0            0     589.50
10/23/95          0            0     587.80
10/24/95          0            0     589.20
10/25/95          0            0     583.90
10/26/95          0            0     578.60
10/27/95          0            0     583.60
10/30/95          0            0     586.80
10/31/95          0            0     583.80
11/01/95          0            0     588.40
11/02/95          0            0     592.50
11/03/95          0            0     592.40
11/06/95          0            0     591.40
11/07/95          0            0     588.20
11/08/95          0            0     594.00
11/09/95          0            0     594.80
11/10/95          0            0     594.40
11/13/95          0            0     594.00
11/14/95          0            0     590.40
11/15/95          0            0     596.30
11/16/95          0            0     599.90
11/17/95          0            0     601.00
11/20/95          0            0     598.40
11/21/95          0            0     601.60
11/22/95          0            0     600.50
11/24/95          0            0     601.60
11/27/95          0            0     601.90
11/28/95          0            0     607.80
11/29/95          0            0     608.00
11/30/95          0            0     607.40
12/01/95          0            0     608.40
12/04/95          0            0     614.70
12/05/95          0            0     624.40
12/06/95          0            0     625.50
12/07/95          0            0     622.30
12/08/95          0            0     624.30
12/11/95          0            0     626.00
12/12/95          0            0     625.10
12/13/95          0            0     627.50
12/14/95          0            0     623.70
12/15/95          0            0     622.90
12/18/95          0            0     611.70
12/19/95          0            0     617.80
12/20/95          0            0     613.00
12/21/95          0            0     616.00
12/22/95        250          250     618.50
12/26/95        275          525     619.60
12/27/95       -149          375     619.30
12/28/95          0          375     617.60
12/29/95          0          375     618.50
01/02/96          0          375     625.20
01/03/96          0          375     627.00
01/04/96          0          375     619.90
01/05/96          0          375     619.40
01/08/96          0          375     622.50
01/09/96          0          375     608.60
01/10/96          0          375     600.90
01/11/96          0          375     605.50
01/12/96          0          375     604.90
01/15/96          0          375     603.10
01/16/96          0          375     610.80
01/17/96          0          375     608.30
01/18/96          0          375     610.60
01/19/96          0          375     614.10
01/22/96          0          375     613.80
01/23/96          0          375     616.30
01/24/96          0          375     622.00
01/25/96          0          375     619.10
01/26/96          0          375     624.00
01/29/96          0          375     626.30
01/30/96          0          375     632.00
01/31/96          0          375     637.90
02/01/96          0          375     639.50
02/02/96          0          375     638.30
02/05/96          0          375     642.00
02/06/96          0          375     648.30
02/07/96          0          375     651.60
02/08/96          0          375     658.50
02/09/96          0          375     659.40
02/12/96          0          375     664.40
02/13/96          0          375     661.70
02/14/96          0          375     656.00
02/15/96          0          375     651.50
02/16/96          0          375     650.50
02/20/96          0          375     643.60
02/21/96          0          375     651.60
02/22/96          0          375     659.90
02/23/96          0          375     659.40
02/26/96          0          375     648.80
02/27/96          0          375     647.50
02/28/96          0          375     643.40
02/29/96          0          375     638.40
03/01/96          0          375     647.10
03/04/96        474          850     650.80
03/05/96       3250         4100     663.80
03/06/96      -1649         2450     657.50
03/07/96          0         2450     660.40
03/08/96          0         2450     637.90
03/11/96          0         2450     644.90
03/12/96          0         2450     641.00
03/13/96          0         2450     643.60
03/14/96          0         2450     647.60
03/15/96          0         2450     646.90
03/18/96          0         2450     659.60
03/19/96          0         2450     657.40
03/20/96          0         2450     656.00
03/21/96          0         2450     654.50
03/22/96          0         2450     656.30
03/25/96          0         2450     656.00
03/26/96          0         2450     658.90
03/27/96          0         2450     651.40
03/28/96          0         2450     654.80
03/29/96          0         2450     651.30
04/01/96          0         2450     657.50
04/02/96          0         2450     658.70
04/03/96          0         2450     659.00
04/04/96          0         2450     659.70
04/08/96          0         2450     647.10
04/09/96          0         2450     645.10
04/10/96          0         2450     633.40
04/11/96          0         2450     633.70
04/12/96          0         2450     640.50
04/15/96          0         2450     645.70
04/16/96          0         2450     647.30
04/17/96          0         2450     644.80
04/18/96          0         2450     645.90
04/19/96          0         2450     647.00
04/22/96          0         2450     652.00
04/23/96          0         2450     655.10
04/24/96          0         2450     651.80
04/25/96          0         2450     655.10
04/26/96          0         2450     656.40
04/29/96          0         2450     655.20
